Title,Description,Priority,Severity,Category,Component,Service,Files,Effort,Remediation
"[CRIT-1] Delegate Private Key Transmitted in Every HTTP Request","The MemWal SDK class transmits the raw Ed25519 delegate private key in the x-delegate-key HTTP header on every authenticated request. The key propagates through the Rust server AuthInfo struct to the sidecar in SEAL decrypt request bodies. The MemWalManual class authenticates without this header, confirming transmission is architecturally unnecessary. AuthInfo also derives Debug (types.rs:317), creating latent risk of key leakage to logs.",Urgent,Critical,credential_exposure,"SDK / Server Auth / Sidecar",packages/sdk + services/server,"packages/sdk/src/memwal.ts:314, apps/app/src/utils/api.ts, services/server/src/auth.rs:61-64, services/server/src/types.rs:326, services/server/scripts/sidecar-server.ts:324+404",High,"Remove x-delegate-key header from MemWal.signedRequest(). Push SEAL decryption to client following MemWalManual pattern. Implement manual Debug for AuthInfo that redacts delegate_key field."
"[HIGH-1] Sidecar Has Zero Authentication and Binds to All Interfaces","Express sidecar has no authentication on any endpoint and binds to 0.0.0.0 by default. All endpoints (/seal/encrypt, /seal/decrypt, /walrus/upload, /sponsor, etc.) reachable from any host. No shared secret, IP allowlist, or mTLS. Wildcard CORS applied to all responses.",Urgent,High,missing_authentication,TypeScript Sidecar,services/server,"services/server/scripts/sidecar-server.ts:273-285,811",Low,"Bind to 127.0.0.1 explicitly. Add shared secret middleware (X-Sidecar-Secret header). Remove CORS middleware entirely."
"[HIGH-2] Rate Limiter Fails Open on Redis Unavailability","All three rate limit window checks catch Redis errors and unconditionally allow requests through. record_in_window also swallows recording failures silently. Docker Compose exposes Redis on 0.0.0.0:6379 with no auth, enabling deliberate crash to disable rate limiting.",Urgent,High,security_bypass,Rust Server Rate Limiter,services/server,"services/server/src/rate_limit.rs:240-242,259-261,278-281",Low,"Return 429 when Redis unreachable. Implement in-memory token-bucket fallback. Bind Redis to 127.0.0.1 in Docker Compose."
"[HIGH-3] Analyze Endpoint Cost Amplification via Unbounded Fact Extraction","/api/analyze passes user text to LLM with no cap on extracted facts. All facts processed concurrently via join_all with no concurrency bound. Each fact triggers embedding, SEAL encryption, Walrus upload, and DB insert. Rate limit cost is constant 10 regardless of fact count.",Urgent,High,resource_exhaustion,Rust Server Route Handlers,services/server,"services/server/src/routes.rs:391-480,516-534,553-563,593-597",Medium,"Add facts.truncate(20) after parsing. Replace join_all with buffer_unordered(5). Adjust rate limit weight post-extraction."
"[HIGH-4] Unauthenticated Sponsor Proxy Endpoints","POST /sponsor and /sponsor/execute on both Rust server and sidecar are public with no auth, no rate limiting, no body-size restrictions. Accept arbitrary transactionBlockKindBytes and sender values, proxied directly to Enoki API.",Urgent,High,missing_authentication,"Rust Server / Sidecar",services/server,"services/server/src/routes.rs:1011-1060, services/server/src/main.rs:147-150, services/server/scripts/sidecar-server.ts:753-804",Low,"Move behind Ed25519 auth middleware. Add rate limiting. Add body-size limit of 16KB."
"[HIGH-5] SEAL Key Server Verification Disabled in All Client Instances","Every SealClient instance constructed with verifyKeyServers: false. Disables cryptographic verification of SEAL key server identity. Flag set in four separate files across sidecar and SDK. With threshold=1, single compromised server yields all key material.",Urgent,High,crypto_weakness,"TypeScript Sidecar / SDK",services/server + packages/sdk,"services/server/scripts/sidecar-server.ts:67, services/server/scripts/seal-encrypt.ts:96, services/server/scripts/seal-decrypt.ts:117, packages/sdk/src/manual.ts:200",Low,"Set verifyKeyServers: true in all four files. One-line change per file."
"[HIGH-6] Server Wallet Private Keys Transmitted Per-Request to Sidecar","On every Walrus upload, Rust server sends raw private key string in HTTP body to sidecar /walrus/upload. Key traverses plaintext HTTP (localhost but see HIGH-1). Key held in Express req.body accessible to heap dumps and error-logging middleware.",Urgent,High,credential_exposure,"Rust Server / Sidecar",services/server,"services/server/src/walrus.rs:80-81, services/server/scripts/sidecar-server.ts:513-519",Medium,"Load SERVER_SUI_PRIVATE_KEYS at sidecar startup from env vars. Pass key index in request body instead of raw key."
"[HIGH-7] Delegate Private Keys Received in Sidecar Decrypt Request Bodies","/seal/decrypt and /seal/decrypt-batch receive user delegate private key in JSON body. Key forwarded from AuthInfo struct. Key held in SessionKey object for 30-min TTL, accessible via heap dumps.",High,High,credential_exposure,"TypeScript Sidecar / Rust Server",services/server,"services/server/scripts/sidecar-server.ts:324,404, services/server/src/seal.rs:109",High,"Push SEAL decryption to client. Interim: reduce ttlMin from 30 to 2-5 minutes."
"[HIGH-8] Private Key Stored in localStorage in Frontend Apps","Ed25519 delegate private key persisted to localStorage in plaintext by dashboard and chatbot apps. localStorage is unencrypted, has no expiry, accessible to any JS on same origin. Chatbot also sends stored key in POST bodies.",High,High,credential_exposure,"React Dashboard / Chatbot",apps/app + apps/chatbot,"apps/app/src/App.tsx:71-85, apps/chatbot/components/chat.tsx:93-114",Medium,"Use sessionStorage as minimum. Correct solution: non-extractable CryptoKey via Web Crypto API."
"[HIGH-9] File Upload Path Traversal via Unsanitized Filename","Filename extracted from multipart FormData and passed verbatim to Vercel Blob put(). No sanitization of path traversal sequences. No per-user namespace prefix — shared flat key space.",High,High,path_traversal,Next.js Chatbot App,apps/chatbot,"apps/chatbot/app/(chat)/api/files/upload/route.ts:50-53",Low,"Sanitize filenames. Prefix uploads with user-scoped non-guessable identifier."
